ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
13 Feet,West,3.5,2 Cars  & 4 Bikes,6,4,Full-Furnished,Price on call,"Imadol, Lalitpur",4.2 aana,2081 BS,,2,1
6 Feet,North-East,2.5,1 Car  & 4 Bikes,7,2,Un-Furnished,Rs. 2.15Cr,"Dhumbarahi, Kathmandu",3.2 aana,,,,2
20 Feet,West,3,1 Car  & 2 Bikes,7,3,Un-Furnished,Rs. 2.75Cr,"Grande Hospital, Kathmandu",,,1200 Sq. Ft.,,1
16 Feet,North-East,2.5,2 Cars  & 3 Bikes,3,2,Full-Furnished,"Rs. 80,000/m","Kirtipur, Kathmandu",4.2 aana,,,,1
16 Feet,South,2.5,1 Car  & 2 Bikes,,3,Un-Furnished,Rs. 1.99Cr,"Pasikot, Kathmandu",,,1200 Sq. Ft.,2,2
13 Feet,East,2.5,1 Car  & 2 Bikes,6,4,Un-Furnished,Rs. 2.5Cr,"Aani Gumba, Kathmandu",3.2 aana,,1200 Sq. Ft.,2,2
13 Feet,West,4,1 Car  & 2 Bikes,6,5,Un-Furnished,Rs. 3.5Cr,"Chandragiri, Kathmandu",3.2 aana,,1200 Sq. Ft.,,1
20 Feet,East,3.5,1 Car  & 4 Bikes,7,6,Full-Furnished,Rs. 4.4Cr,"Imadol, Lalitpur",4.2 aana,2081 BS,,,
13 Feet,West,2.5,1 Car  & 3 Bikes,6,4,Un-Furnished,Rs. 2.5Cr,"Hattiban, Lalitpur",,,1200 Sq. Ft.,1,2
16 Feet,South,2,3 Cars  & 6 Bikes,8,4,Un-Furnished,Rs. 3.5Lac/m,"Baluwatar, Kathmandu",,,1800 Sq. Ft.,2,2
10 Feet,South,3,5 Bikes,6,3,Un-Furnished,Rs. 1.95Cr,"Ichangu Narayan, Kathmandu",,,,,1
13 Feet,North,1.5,1 Car  & 4 Bikes,3,2,Full-Furnished,"Rs. 70,000/m","Imadol, Lalitpur",,2081 BS,,,1
13 Feet,West,3,1 Car  & 5 Bikes,6,5,Semi-Furnished,Rs. 3.1Cr,"Imadol, Lalitpur",3.2 aana,2081 BS,2200 Sq. Ft.,,
13 Feet,South,2.5,1 Car  & 5 Bikes,6,4,Semi-Furnished,Rs. 2.45Cr,"Bhandari Marg, Lalitpur",3.1 aana,2081 BS,2500 Sq. Ft.,2,2
20 Feet,East,3,1 Car  & 4 Bikes,7,6,Full-Furnished,Rs. 3.8Cr,"Imadol, Lalitpur",,2081 BS,,2,
13 Feet,East,3,1 Car  & 4 Bikes,7,6,Full-Furnished,Rs. 3.15Cr,"Imadol, Lalitpur",,2081 BS,,,1
13 Feet,West,3.5,1 Car  & 4 Bikes,7,5,Semi-Furnished,Price on call,"Imadol, Lalitpur",3.1 aana,2081 BS,,1,
20 Feet,West,2.5,3 Cars  & 4 Bikes,,4,Full-Furnished,Rs. 3.8Cr,"Tikathali, Lalitpur",,2081 BS,,2,1
50 Feet,South-East,2.5,1 Car  & 3 Bikes,4,4,Semi-Furnished,Price on call,"Hetauda, Makwanpur",5.1 aana,2073 BS,,1,2
20 Feet,West,3,1 Car  & 4 Bikes,7,4,Full-Furnished,Rs. 2.6Cr,"Pepsicola, Kathmandu",,2081 BS,,,2
13 Feet,East,3,3 Cars  & 5 Bikes,6,3,Semi-Furnished,Rs. 7.27Cr,"Hepali Height, Kathmandu",,,1500 Sq. Ft.,1,
20 Feet,South,2,1 Car  & 2 Bikes,12,5,Un-Furnished,Rs. 1.1Lac/m,"Pasikot, Kathmandu",,,1500 Sq. Ft.,,1
13 Feet,South-East,3.5,1 Car  & 4 Bikes,7,4,Full-Furnished,Rs. 2.45Cr,"Kapan, Kathmandu",,2081 BS,,,2
12 Feet,South,2.5,5 Cars  & 5 Bikes,5,4,Un-Furnished,Rs. 1.5Lac/y,"Hattigaunda, Kathmandu",18.2 aana,2065 BS,2500 Sq. Ft.,1,1
13 Feet,North-East,2.5,1 Car  & 4 Bikes,6,4,Full-Furnished,Rs. 3.95Cr,"Dhapakhel, Lalitpur",,2081 BS,,2,
13 Feet,South,2,2 Cars  & 3 Bikes,2,2,Un-Furnished,"Rs. 35,000/m","Kaushaltar, Bhaktapur",,2060 BS,,1,
